,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
9758,301,43,1931,9,20,0
13834,85,51,1792,8,0,0
17095,30,10,107,13,0,0
1000,49,18,147,7,127,0
10557,308,328,11528,14,104,0
9115,650,477,1122,13,75,0
4749,86,105,548,15,0,0
1947,4,3,42,8,0,0
17075,32,37,153,13,150,0
4173,490,203,2655,12,95,0
10962,33,40,652,14,0,0
13053,12,3,34,9,0,0
8351,1467,1588,1690,8,157,0
14416,288,125,273,11,86,0
9265,18,33,58,12,124,0
11463,65,25,250,6,0,0
15465,27,26,306,11,49,0
10391,283,370,2559,11,52,0
16006,23,14,148,9,19,0
6682,23,62,1001,15,30,0
10456,125,89,3748,12,70,0
4115,57,86,1296,9,66,0
1364,2625,2386,325,8,49,0
2478,156,168,582,8,124,0
1315,259,298,585,11,0,0
7220,24,8,10,9,36,0
19214,42,7,19,8,0,0
2948,565,496,5655,11,62,0
2886,278,500,7847,7,17,0
16841,4,4,35,6,18,0
7958,9,10,19,12,0,0
9411,153,77,157,11,16,0
12831,90,26,1198,15,23,0
2215,13,17,1001,12,0,0
5423,285,301,4483,10,0,0
13048,84,87,1886,11,0,0
10755,53,77,1419,9,60,0
7475,76,12,873,7,0,0
12697,90,77,924,7,0,0
18912,5,1,2,12,0,0
14245,58,34,143,14,0,0
12404,82,57,267,12,75,0
17157,255,108,223,11,128,0
14217,27,29,67,10,79,0
122,127,133,678,8,32,0
16749,318,317,708,11,47,0
15526,29,26,143,10,37,0
13309,93,75,116,15,41,0
14088,18,19,463,11,0,0
8356,146,97,143,6,0,0
11595,32,9,69,13,0,0
11078,29,32,769,15,96,0
19219,17,0,1,12,0,0
10649,357,200,2374,14,60,0
12132,183,1137,19300,10,152,0
15505,6,7,213,8,33,0
1068,117,143,1479,8,49,0
2868,277,681,1133,9,19,0
14573,24,30,561,8,51,0
13110,22,39,1823,8,16,0
2764,1156,1496,6381,12,0,0
13126,447,177,634,8,126,0
19218,0,0,1,11,0,0
12559,53,16,160,8,0,0
13658,14,19,533,6,28,0
19216,10,2,87,13,159,0
1610,820,2763,4865,3,62,0
7830,142,117,1339,5,35,0
727,68,97,448,15,135,0
16731,34,46,139,10,0,0
4417,72,52,615,15,33,0
4697,68,120,1257,15,49,0
18895,9,4,3,10,0,0
2734,384,6954,6555,14,0,0
10733,78,85,873,13,0,0
16724,43,29,76,13,0,0
5519,382,1153,3670,13,0,0
2743,173,240,1931,6,78,0
14496,99,128,979,12,0,0
4707,17,46,1456,8,23,0
17202,28,5,21,8,0,0
6988,69,103,762,11,97,0
19107,9,3,7,13,0,0
7067,52,33,1426,11,29,0
17257,82,15,192,12,20,0
9156,50,48,218,12,65,0
18283,29,9,20,9,0,0
14058,35,17,330,8,2,0
12482,20,26,49,13,0,0
8485,95,106,1222,10,109,0
4004,157,129,359,9,35,0
11380,81,62,375,13,0,0
9330,315,173,791,10,0,0
17014,615,587,1009,10,55,0
6801,204,222,5994,12,32,0
6629,50,129,448,10,134,0
4056,299,184,1922,5,75,0
7925,29,30,441,12,26,0
6587,162,337,5037,13,160,0
4946,49,49,198,9,62,0
11142,245,183,850,7,56,0
13010,13,0,1221,11,0,0
6381,90,15,77,9,0,0
12946,5,1,79,15,0,0
9771,188,155,2054,11,0,0
328,330,491,3581,6,73,0
18799,14,11,21,9,33,0
14498,315,146,1255,13,86,0
13323,26,42,744,14,0,0
3601,1665,477,530,15,0,0
3478,92,88,680,10,30,0
18545,113,107,380,12,137,0
10523,19,43,1062,12,0,0
118,37,53,721,6,12,0
4708,953,670,7178,8,35,0
2557,65,75,1047,5,25,0
11907,80,36,85,7,0,0
5932,49,56,595,10,0,0
1865,523,486,6194,12,72,0
18030,109,18,116,11,44,0
5239,30,16,307,14,0,0
3981,54,41,768,10,0,0
5751,122,123,780,12,0,0
6289,204,91,2491,14,56,0
16860,28,2,9,13,0,0
17171,78,34,250,10,22,0
15917,22,19,1702,6,33,0
14458,7,3,17,11,79,0
9706,21,22,249,5,0,0
18281,13,9,161,12,67,0
19153,4,1,4,14,26,0
2702,42,36,329,13,0,0
6562,697,609,1550,7,137,0
17422,0,372,4702,11,40,0
13889,84,65,1362,13,0,0
3682,16,10,542,7,72,0
8334,35,39,1418,10,10,0
10045,54,21,622,9,0,0
504,567,397,1292,8,0,0
5760,103,74,652,12,0,0
2604,238,670,2251,10,54,0
3385,129,320,1561,12,0,0
7300,32,39,1232,9,95,0
15864,133,91,2630,11,55,0
6175,130,73,781,13,28,0
19204,3,1,4,14,0,0
14127,73,53,310,10,0,0
6008,78,67,1801,6,64,0
644,170,209,549,9,17,0
14288,35,7,42,11,0,0
5316,67,78,2492,10,23,0
11679,697,369,2739,9,0,0
13080,58,12856,7723,11,20,0
8411,23,127,1376,14,0,0
684,95,159,3754,10,69,0
19105,4,2,4,9,0,0
14818,27,10,32,8,19,0
5649,93,286,2765,14,158,0
10054,8,6,22,10,0,0
4270,35,47,1141,13,6,0
4823,123,113,1371,10,62,0
12679,36,29,320,9,0,0
1375,47,180,12257,11,0,0
10647,542,169,1512,8,0,0
12462,87,329,1340,7,34,0
6601,101,162,988,12,0,0
6650,13,869,6348,10,0,0
15165,458,379,1555,12,73,0
10243,76,256,1861,11,77,0
7839,24,12,101,8,0,0
7914,123,210,2066,10,0,0
2075,160,282,4122,5,151,0
1725,623,578,2465,11,122,0
13865,28,20,223,14,0,0
18597,55,43,296,11,20,0
12971,74,91,1288,10,54,0
12229,245,155,4241,15,0,0
5515,20,68,1112,5,33,0
16497,52,35,79,14,148,0
18821,107,48,53,7,0,0
3408,153,156,3941,8,34,0
9861,510,238,3114,9,28,0
485,2829,2868,7544,7,95,0
17947,185,60,194,11,18,0
15359,61,625,13727,6,142,0
946,25,1041,12000,10,33,0
18155,13,4,17,9,6,0
6228,90,62,478,13,93,0
7929,38,28,84,9,20,0
13625,93,74,103,10,0,0
18066,50,35,48,9,43,0
12742,75,45,736,7,18,0
12553,292,7638,4955,13,25,0
12355,378,92,560,14,0,0
17888,79,32,184,8,0,0
18939,20,3,31,8,0,0
371,562,697,10533,11,73,0
6447,37,10,219,10,0,0
14605,55,350,508,14,0,0
5259,200,844,14648,10,73,0
15859,360,229,791,10,75,0
2201,405,2844,8488,15,26,0
6324,265,346,10868,7,0,0
16534,24,16,1063,10,1,0
1444,174,113,1566,12,39,0
16448,100,47,2334,12,0,0
8974,5,14,21,14,0,0
14604,232,464,1630,6,22,0
9287,62,43,190,10,0,0
709,67,85,3844,7,68,0
11793,119,713,7556,11,42,0
10771,28,30,377,11,0,0
14030,37,45,1589,9,47,0
13621,90,110,2092,14,160,0
14279,60,16,66,14,19,0
3357,172,208,847,13,0,0
2758,125,222,12323,15,59,0
6743,20,39,84,7,0,0
1788,19,54,1713,10,22,0
3005,124,220,2019,7,136,0
19037,51,30,108,9,0,0
3435,539,424,2066,13,151,0
2409,85,89,122,10,149,0
15443,59,27,36,10,0,0
9603,60,99,3302,8,52,0
2011,139,120,301,8,152,0
7851,80,287,4650,6,32,0
2163,45,3940,833,10,77,0
19093,19,1,4,12,25,0
18394,256,355,695,11,137,0
1396,4871,5120,1871,10,76,0
13762,59,11,27,9,0,0
9921,128,100,2373,6,25,0
16988,83,100,406,9,68,0
6870,123,93,1635,10,62,0
9407,113,68,1608,10,8,0
5309,54,14,46,9,62,0
17724,71,25,82,12,0,0
10094,156,33,190,11,0,0
3648,92,59,451,15,0,0
13115,996,590,514,9,112,0
6821,80,86,537,6,14,0
17703,2001,426,2801,13,67,0
7413,44,80,843,12,0,0
5376,62,22,294,9,11,0
2340,39,41,795,12,2,0
1280,280,405,5570,10,127,0
15775,80,13684,6743,14,33,0
9744,0,11,2365,13,0,0
10830,38,38,484,12,0,0
7773,110,338,8887,11,122,0
11549,21,20,713,15,0,0
2656,146,130,569,14,36,0
14715,213,289,3192,12,0,0
19224,4,0,3,12,0,0
9813,59,132,3734,15,73,0
12834,48,43,194,12,65,0
15874,220,67,175,9,0,0
10177,99,32,802,11,16,0
181,157,123,4158,10,71,0
2855,201,192,7541,12,31,0
11031,67,40,381,11,16,0
11560,31,25,175,10,0,0
17290,55,6,47,12,0,0
6209,100,166,1797,8,74,0
8405,240,362,2359,11,45,0
11087,206,154,1376,9,149,0
3934,696,701,11663,8,108,0
12219,108,225,6669,11,160,0
6592,73,93,1489,9,0,0
7858,55,25,429,5,46,0
14464,293,109,1950,15,54,0
6384,450,351,5632,13,14,0
7842,42,98,714,9,127,0
4747,42,42,1077,10,22,0
11891,52,55,1524,13,0,0
14176,117,105,367,9,0,0
6506,49,60,1085,7,43,0
10396,180,141,4785,9,0,0
13551,50,30,133,15,0,0
11988,18,32,1293,15,0,0
9268,34,27,239,8,0,0
10004,74,134,173,8,0,0
4125,67,239,6177,15,0,0
11115,25,32,96,8,0,0
19173,0,0,23,9,0,0
16702,46,81,826,12,23,0
7950,190,192,6051,10,27,0
9351,28,14,45,10,0,0
2982,191,204,5290,10,38,0
18788,935,860,138,15,68,0
18535,45,84,479,8,73,0
10111,9,158,15500,12,107,0
8236,188,243,2189,9,0,0
17316,10,155,18,15,57,0
11153,7,10,28,9,0,0
484,146,283,2048,15,18,0
5961,29,13,1627,9,42,0
3360,52,37,729,11,0,0
2744,546,567,8298,8,3,0
14462,7,11,130,11,90,0
13388,21,24,431,8,0,0
9348,31,30,321,9,95,0
18338,0,10,1401,11,0,0
6799,2001,1038,2160,12,120,0
2304,279,249,1805,9,60,0
6416,126,18,435,8,71,0
16416,109,67,62,6,94,0
17874,62,233,159,10,25,0
3707,1032,1334,17011,6,91,0
4416,125,251,7147,10,52,0
8675,41,59,620,13,50,0
175,206,180,1462,6,0,0
13627,22,16,98,9,0,0
18492,213,177,205,13,26,0
4448,613,478,714,7,34,0
19168,22,6,8,9,0,0
3539,131,131,3594,12,119,0
5217,67,167,3539,9,131,0
307,438,539,1527,7,8,0
15017,203,41,20,13,145,0
19070,39,22,61,15,0,0
16856,136,108,770,15,0,0
2727,1746,1740,1583,14,116,0
7334,75,67,1024,10,0,0
15103,30,26,570,8,46,0
6833,91,126,1920,12,19,0
19158,82,19,110,10,149,0
12203,43,102,1522,14,159,0
18973,0,1,8,14,73,0
16581,1,94,2053,9,97,0
6016,50,409,8209,9,87,0
19198,0,0,4,10,0,0
12743,30,13,70,10,0,0
11638,624,596,9947,10,76,0
18837,32,16,373,7,13,0
9050,87,98,263,7,16,0
17059,1,1,45,10,13,0
5822,100,9962,2077,15,159,0
8247,327,259,1909,6,0,0
5413,127,389,9807,13,98,0
4263,57,27,3811,8,46,0
16948,119,125,387,6,93,0
14970,32,6,80,15,32,0
13138,6,2,81,10,0,0
6564,545,377,1441,5,152,0
18658,815,348,113,12,52,0
15138,56,68,691,12,47,0
9816,74,65,342,10,73,0
267,92,120,1029,14,121,0
2094,161,101,649,9,0,0
17616,3,5,46,9,0,0
6351,68,39,342,8,54,0
17379,100,102,1826,15,35,0
4587,86,50,3597,15,87,0
13417,120,144,958,11,50,0
3761,39,1353,6640,10,33,0
8569,124,82,6134,9,0,0
9676,105,140,2347,11,0,0
16578,1908,1914,1245,9,88,0
8283,130,64,1627,12,56,0
8554,69,46,297,10,0,0
18165,39,15,18,11,0,0
14785,189,88,4141,10,0,0
14864,11,12,892,15,31,0
10725,41,16,15,12,0,0
11511,229,143,1767,11,70,0
8679,19,31,129,10,0,0
8710,101,108,981,8,21,0
11027,87,27,242,9,0,0
8424,154,272,7536,14,48,0
17867,46,31,359,6,53,0
18525,25,23,163,8,53,0
14173,48,21,159,9,147,0
19103,27,48,173,11,141,0
17945,41,28,183,9,0,0
8479,69,17,158,15,31,0
6134,4,7,58,8,38,0
14530,323,194,360,10,0,0
15306,36,56,3256,13,51,0
5152,112,185,5799,6,77,0
1145,243,368,4399,8,144,0
9572,20,12,46,12,44,0
2583,2,214,5908,6,43,0
170,285,351,1869,15,37,0
5679,195,355,24971,12,73,0
3269,100,78,615,9,41,0
18189,79,41,180,10,0,0
13624,1273,1311,2442,8,21,0
722,66,98,254,13,0,0
1665,72,79,5827,14,35,0
15451,107,42,440,10,62,0
16181,123,118,2024,11,46,0
18238,43,25,462,9,48,0
10141,47,24,79,10,0,0
7074,27,21,829,6,46,0
49,76,221,1369,4,22,0
6550,51,22,155,9,50,0
18042,33,21,263,14,0,0
13580,172,243,609,10,91,0
7438,79,100,6194,8,93,0
10724,12,6,75,14,0,0
6470,47,191,3829,7,3,0
2169,303,183,1645,15,56,0
12224,43,74,526,14,60,0
9096,50,35,157,12,0,0
19175,0,4,14,13,0,0
12803,247,357,10678,12,32,0
10778,61,90,1588,10,39,0
18392,400,296,1672,9,22,0
2892,216,181,6096,7,26,0
16061,28,25,314,14,76,0
3313,90,100,486,12,0,0
837,317,540,2242,11,97,0
7566,78,128,1414,8,0,0
10466,270,209,1299,9,0,0
10460,28,24,375,7,0,0
15342,71,569,340,14,46,0
1655,87,155,2650,9,160,0
18242,60,16,92,6,0,0
14773,42,107,1106,12,25,0
14259,29,18,31,8,0,0
12532,18,18,150,13,0,0
17104,79,44,1226,14,35,0
15189,42,8,330,9,48,0
1637,99,115,2345,8,118,0
11219,32,32,348,11,24,0
2509,75,63,1129,12,0,0
11781,129,45,246,10,0,0
14357,63,40,460,9,0,0
16845,0,5,341,13,0,0
13114,100,550,1302,8,67,0
19227,222,156,11,7,0,0
19228,0,0,3,11,0,0
3284,147,192,5442,9,13,0
17390,92,127,1579,10,20,0
17851,53,19,265,8,0,0
19220,0,1,11,11,0,0
2507,211,289,3270,11,97,0
18894,0,16,144,7,65,0
219,264,318,2519,6,0,0
13913,10,4,16,9,20,0
11135,1078,691,7612,11,50,0
19187,6,5,212,15,0,0
2033,96,134,588,11,134,0
16960,54,24,267,11,0,0
18158,24,18,247,14,159,0
17283,15,4,179,5,52,0
11085,62,44,871,7,0,0
13955,35,29,1781,11,35,0
16848,2,4,205,9,0,0
17359,0,4,734,10,0,0
19068,137,71,1927,11,99,0
11856,316,291,1327,8,60,0
8271,10,14,35,15,25,0
19195,255,23,57,13,74,0
8372,114,100,1926,14,60,0
14882,2321,2113,10481,12,59,0
12695,54,64,2029,7,128,0
15110,85,80,581,8,18,0
5653,475,410,4907,6,122,0
7386,168,43,64,10,0,0
7357,645,244,4569,8,65,0
88,2057,1894,3287,7,45,0
4661,115,134,1923,11,47,0
3562,320,60,90,13,0,0
9474,31,29,372,10,42,0
6540,78,44,691,11,68,0
7162,113,114,1003,12,72,0
3223,579,560,7353,10,95,0
2167,45,64,558,12,61,0
1412,122,148,573,10,136,0
18806,18,4,11,8,0,0
4193,338,132,135,6,36,0
4711,146,115,490,7,87,0
15984,16,10,16,14,0,0
14170,64,1734,1274,9,83,0
13700,21,13,293,11,0,0
5872,101,104,311,12,64,0
11238,324,96,265,13,98,0
16095,46,18,247,8,0,0
19064,167,55,460,15,74,0
1245,40,27,1800,13,55,0
13498,104,121,936,14,0,0
16827,19,8,15,5,0,0
82,357,401,2001,9,74,0
8635,134,317,3416,10,64,0
4898,29,47,1433,8,79,0
10471,51,43,19,6,0,0
413,140,144,7489,7,106,0
6878,96,142,937,9,36,0
16917,7,7,172,11,6,0
10693,71,63,447,8,0,0
15602,57,35,39,9,0,0
16993,1183,1066,6276,13,96,0
7170,25,16,40,8,26,0
12110,735,546,15135,12,160,0
4866,163,180,289,8,73,0
13746,78,85,288,10,57,0
10570,115,71,584,12,74,0
10228,207,139,2251,15,136,0
5076,1979,4261,3102,9,43,0
3322,80,44,1029,6,46,0
16608,25,3492,623,11,0,0
16346,31,9,24,9,0,0
5476,192,239,3450,6,52,0
2943,889,997,5081,8,151,0
6941,5,36,2023,15,94,0
6344,32,22,296,9,0,0
11900,32,35,1244,10,123,0
14528,181,83,333,6,32,0
8274,362,311,2569,9,128,0
14188,103,5356,1398,12,113,0
16555,41,17,25,13,21,0
4140,17,14,670,11,55,0
1118,191,133,1320,9,0,0
11194,116,78,565,14,0,0
4590,10,10,55,8,0,0
11660,28,28,154,12,0,0
13708,30,33,122,9,57,0
1061,300,188,221,5,0,0
16367,196,16,60,11,0,0
2591,159,105,1973,8,44,0
4444,35,21,89,13,13,0
2654,150,211,1687,13,155,0
2865,50,90,1636,8,124,0
15605,90,137,2656,12,47,0
6852,72,28,2608,8,0,0
3883,562,1146,10783,15,69,0
18162,9,0,11,12,40,0
4668,180,268,1155,12,159,0
9013,37,23,376,11,88,0
5041,85,53,302,12,0,0
4565,88,64,2872,12,15,0
11589,528,221,1348,15,160,0
19199,6,0,1,11,0,0
12691,211,58,317,11,0,0
3494,175,203,6996,9,42,0
16782,12,13,178,9,0,0
3658,352,343,928,9,103,0
11152,80,305,5152,12,56,0
4481,34,64,1161,12,0,0
9934,81,23,728,7,18,0
7255,92,129,829,8,90,0
8862,158,102,4769,6,66,0
13773,20,36,164,8,0,0
16059,3,1,60,14,0,0
1424,38,67,59,6,68,0
13684,60,256,3275,14,79,0
7953,11,216,742,5,74,0
17794,1490,1291,914,11,27,0
8613,291,155,1575,7,0,0
7089,42,175,767,7,128,0
15619,23,56,560,7,0,0
17324,62,72,539,6,39,0
18177,42,14,50,8,122,0
13284,21,8,77,13,49,0
17174,65,67,425,7,135,0
18050,21,30,319,11,0,0
11561,9,14,305,9,6,0
1434,141,280,671,9,0,0
12918,145,1218,7318,12,0,0
13242,9,6,57,13,11,0
1716,27817,27794,3255,8,158,0
11223,425,524,6486,14,139,0
17067,0,34,3788,8,68,0
13443,2001,1698,2183,11,96,0
4317,46,80,1860,7,38,0
10587,142,158,1529,11,99,0
18115,6,24,889,8,0,0
15168,4,6,595,9,60,0
16005,84,18,43,11,0,0
376,289,2099,1842,3,92,0
13218,5,0,19,8,27,0
11669,57,247,742,12,11,0
15519,0,23,528,8,45,0
14153,4,35,776,9,0,0
13352,172,266,6317,11,74,0
19096,42,4,6,8,0,0
1661,0,4,7634,8,0,0
3073,137,135,4576,6,89,0
16600,65,29,172,10,0,0
14149,35,40,1942,8,74,0
3293,716,813,5748,11,149,0
18502,9,7,58,9,0,0
11041,4,4,41,7,0,0
9893,63,433,597,7,79,0
6781,92,109,1537,12,32,0
3301,349,360,10119,9,77,0
19147,20,94,245,15,0,0
5357,67,146,2426,15,110,0
7935,41,64,365,11,0,0
6108,120,43,113,12,0,0
18126,1480,960,95,13,0,0
13192,251,290,4608,7,37,0
5460,16,19,23,10,0,0
6591,9,31,757,12,27,0
1459,495,912,12261,9,0,0
5600,69,198,4858,12,0,0
15424,137,12,81,11,37,0
611,118,177,6543,5,139,0
812,133,186,3159,9,0,0
3012,64,63,355,5,28,0
11422,102,114,338,5,126,0
8589,71,80,3769,10,114,0
13016,117,302,5817,12,43,0
15363,53,34,222,6,64,0
12447,37,38,921,10,0,0
641,149,460,2407,8,76,0
9020,317,543,5979,7,13,0
13051,14,23,531,11,0,0
4063,12,22,388,10,95,0
17887,21,18,458,7,8,0
8544,4,22961,1192,13,27,0
11959,36,40,12555,12,20,0
10158,22,39,3418,8,30,0
15836,21,21,297,8,29,0
5612,533,569,5507,10,17,0
9369,391,314,1071,7,94,0
8211,139,72789,2876,14,0,0
12429,87,57,944,9,35,0
3413,286,276,2283,8,94,0
10067,71,73,230,15,0,0
3351,7,125,2124,13,0,0
941,401,574,15524,8,39,0
7579,19,983,140,14,44,0
3249,160,212,5335,14,132,0
10995,77,65,448,6,0,0
7965,208,269,3372,13,119,0
9168,121,331,710,12,74,0
4830,152,208,5936,9,101,0
8587,51,29,503,7,37,0
11151,103,102,2253,12,0,0
15815,77,6,10,7,0,0
11768,32,27,18,15,79,0
2810,218,360,5591,10,137,0
7451,183,71,887,10,0,0
17949,2,5,179,8,0,0
6387,30,21,25,8,39,0
9428,152,152,1589,14,73,0
15554,189,152,698,11,0,0
1507,69,131,1122,11,0,0
13452,112,57,38,15,142,0
19097,56,42,62,12,49,0
383,38,43,1616,4,8,0
12744,119,93,1150,11,53,0
14406,8,8,761,4,57,0
12576,11,108,237,13,56,0
10524,24,4576,183,10,0,0
15700,0,78,16545,15,0,0
17740,2,5,25,13,0,0
1232,167,182,497,6,73,0
7514,30,17,68,4,0,0
1644,17,29,1219,10,4,0
12941,92,128,1101,10,110,0
1529,158,98,2146,7,24,0
12223,31,70,1661,13,0,0
659,237,336,2903,7,114,0
12281,35,28,472,12,14,0
11772,175,213,3056,12,0,0
17474,64,399,416,7,0,0
9606,184,521,13206,8,158,0
9524,15,31,214,7,40,0
18179,241,47,575,12,61,0
14628,24,21,272,9,94,0
6450,31,27,89,9,59,0
3416,26,16,53,13,0,0
9185,122,150,1303,13,12,0
380,80,152,2021,6,37,0
1825,257,269,3521,10,0,0
14301,132,92,1983,5,35,0
19053,7,2,15,6,67,0
16431,146,43,51,13,0,0
18824,3,1,61,6,30,0
635,117,259,1925,15,15,0
12197,9,13,22,9,35,0
6521,181,1811,7367,11,156,0
15127,33,49,2601,11,21,0
19189,6,2,2,9,0,0
2495,1048,696,317,12,0,0
9032,3066,2832,6973,11,106,0
6879,171,259,609,13,0,0
17375,0,97,2687,10,0,0
13744,81,69,472,11,0,0
9730,432,425,1311,8,39,0
12673,16,7,91,10,77,0
15368,57,27,349,10,16,0
17917,61,22,13,13,106,0
9434,135,101,1362,11,92,0
18830,60,13,26,9,100,0
6420,12,32,681,7,0,0
317,473,308,3674,5,23,0
19201,0,1,6,15,159,0
2288,211,188,2450,6,46,0
11801,31,35,44,12,54,0
9073,0,102,618,11,33,0
12590,254,56,646,12,62,0
14204,28,44,131,9,119,0
994,46,111,806,7,156,0
4498,28,27,1073,9,31,0
7968,10,18,28,10,0,0
10185,240,282,3470,5,32,0
10818,0,83,829,11,0,0
17115,23,22,60,9,0,0
18350,1,1,2,9,0,0
19202,1,1,1,9,0,0
4901,491,529,7377,7,59,0
13639,121,61,374,9,0,0
19047,19,5,34,14,0,0
7484,46,46,667,6,11,0
168,45,161,4862,10,0,0
13193,173,242,7955,7,47,0
17960,95,56,54,7,0,0
15395,53,106,2364,10,152,0
15998,31,26,61,5,0,0
18741,422,33,56,15,0,0
10807,78,60,1026,10,66,0
18386,0,2,24,11,0,0
16420,74,62,890,11,0,0
8845,191,297,5143,8,23,0
19014,58,6,10,11,8,0
4221,123,663,232,14,159,0
13107,173,132,1029,11,109,0
2512,159,132,2526,7,97,0
16971,109,81,1951,7,0,0
1646,184,41,660,8,52,0
2632,194,259,2833,9,48,0
9932,187,355,2841,12,68,0
761,504,522,7527,6,57,0
14635,51,56,400,8,0,0
18000,35,55,1001,9,27,0
674,108,64,281,8,73,0
19171,0,3,33,13,82,0
13825,38,38,672,15,109,0
13502,27,40,276,10,68,0
8933,25,2433,495,13,0,0
12006,197,203,2316,11,0,0
16515,381,511,3036,6,86,0
18801,108,21,147,12,0,0
15646,38,24,358,14,0,0
17078,40,42,123,11,48,0
14205,255,123,436,12,27,0
3736,96,79,139,8,0,0
3212,605,660,388,8,148,0
10360,18,28,144,10,149,0
11521,161,276,3689,10,43,0
3296,1,140,4972,9,22,0
16769,35,17,34,10,0,0
17008,2,1,24,12,0,0
13797,179,102,786,10,0,0
10993,27,32,531,9,43,0
4863,1045,438,215,10,160,0
1460,753,981,1014,13,127,0
1653,273,372,7640,7,25,0
6820,477,664,7241,9,0,0
11178,100,252,4668,11,0,0
5547,104,59,296,7,68,0
11191,535,542,670,15,0,0
6495,52,42,123,9,0,0
3286,163,155,451,11,46,0
4473,73,88,1648,13,16,0
17193,36,14,319,13,0,0
12459,97,29,637,8,0,0
6685,38,26,47,15,64,0
4116,57,107,1241,12,34,0
13424,228,160,1012,11,15,0
19192,20,0,2,14,0,0
17407,323,231,905,8,48,0
305,82,107,2589,6,60,0
6949,77,90,426,13,0,0
13445,42,31,159,10,22,0
508,183,165,1639,10,101,0
622,441,1036,5390,8,121,0
564,1732,1306,34225,8,54,0
11578,367,102,1341,14,120,0
15556,16,49,430,11,0,0
11878,53,16,22,7,0,0
15441,20,7,22,11,0,0
9432,45,39,284,12,51,0
7326,134,497,3302,9,61,0
16798,44,25,221,8,25,0
12402,96,651,3924,12,60,0
9857,166,154,1611,8,81,0
5455,304,392,6800,15,0,0
19177,121,21,102,12,0,0
609,934,928,6730,9,133,0
15403,533,98,558,9,0,0
15937,54,24,174,10,0,0
8089,27,43,3048,8,104,0
7420,166,4135,601,11,45,0
18543,97,89,614,15,0,0
9924,1058,474,1189,9,93,0
17020,20,10,84,9,0,0
1961,48,62,417,10,0,0
6999,119,419,789,13,25,0
8492,150,109,3126,15,18,0
13508,30,19,176,8,126,0
2776,80,361,3584,7,16,0
11250,207,183,660,9,21,0
10039,73,120,1688,7,11,0
5698,9,90,3272,8,73,0
4347,120,61,475,7,0,0
16125,635,346,2050,14,26,0
2370,319,221,2356,14,143,0
669,350,453,1314,8,0,0
3797,119,137,8496,6,0,0
9538,72,73,715,9,55,0
13506,151,160,1215,11,19,0
3068,254,264,1157,13,79,0
8778,15,23,743,10,7,0
10260,182,215,3842,9,65,0
18559,34,24,35,14,27,0
13042,36,34,354,6,28,0
3788,170,118,1352,9,46,0
19043,31,7,16,7,61,0
16797,88,106,1679,10,34,0
15136,37,23,522,7,0,0
1162,3428,4083,11008,8,155,0
1843,394,1083,3846,5,29,0
19129,97,11,4,7,0,0
6617,71,210,611,11,24,0
1667,59,65,316,15,38,0
9522,278,287,6984,12,93,0
14328,161,170,4503,13,129,0
17905,21,13,9,6,0,0
16390,11,16,668,6,79,0
14481,241,110,543,9,0,0
11997,39,41,950,10,152,0
15362,12,16,4589,9,76,0
6149,41,42,1595,13,87,0
1215,273,754,5591,6,106,0
17576,93,28,240,11,45,0
14026,44,44,1525,8,15,0
17271,177,98,397,12,21,0
3870,164,195,1295,14,25,0
4295,81,56,1000,11,34,0
14055,41,41,562,6,44,0
15995,24,8,110,14,50,0
13357,80,88,1267,8,44,0
18005,11,9,52,11,13,0
4283,43,25,260,4,0,0
15604,172,69,573,15,0,0
2061,119,117,5295,8,52,0
3681,340,273,214,12,86,0
9076,70,88,2716,6,104,0
1366,195,146,533,3,53,0
17764,53,12,67,13,0,0
606,83,75,265,5,18,0
10515,130,105,1308,6,25,0
11858,1008,890,1250,7,59,0
2979,76,61,952,15,0,0
17705,0,0,6,12,0,0
19167,85,15,59,5,35,0
9720,0,60,157,8,128,0
16800,78,45,246,8,11,0
9976,215,185,140,11,0,0
26,152,249,2871,8,69,0
16328,944,816,697,10,58,0
13225,20,11,271,8,78,0
2576,735,1780,16861,15,73,0
9137,187,326,2436,14,151,0
15790,158,174,2167,7,84,0
1626,46,49,235,13,64,0
19016,43,21,102,7,48,0
7883,100,71,310,13,49,0
6213,91,51,631,7,19,0
7505,34,41,74,10,59,0
16463,11,8,60,13,0,0
16938,18,14,318,12,154,0
7057,117,93,939,12,49,0
12626,106,31,2182,9,39,0
16099,117,55,260,10,79,0
12354,157,595,5436,14,5,0
17638,72,52,51,11,0,0
120,28883,31756,3941,8,53,0
10029,19,9,224,8,0,0
231,112,927,131,7,15,0
3415,142,205,1096,10,0,0
16036,36,31,582,10,106,0
17315,125,58,144,5,0,0
11784,52,27,187,8,0,0
12822,92,22,421,8,0,0
14953,39,62,585,11,77,0
14723,1000,393,161,12,143,0
1439,3073,2970,1801,15,154,0
9049,44,36,323,15,48,0
5464,26,46,10550,7,68,0
6033,4,8396,4379,8,140,0
6831,41,69,219,10,91,0
17566,8,2,8,8,0,0
7155,62,231,5753,8,0,0
11730,30,17,235,12,54,0
6483,149,201,7225,10,28,0
16524,87,100,1097,9,0,0
17215,40,16,46,7,0,0
14267,23,55,211,7,0,0
9767,149,155,2902,9,75,0
8741,298,103,809,14,13,0
7924,68,33,474,14,0,0
6750,1980,570,321,7,0,0
471,35,61,1052,7,7,0
